"criteria","criteria_description"
"criteria","criteria_has_value"
"documenttype","documenttype_id"
"documenttype","documenttype_name"
"documenttype","documenttype_description"
"documenttype","documenttype_short"
"area_usagetype_rel","area_id"
"area_usagetype_rel","usagetype_id"
"area_usagetype_rel","area_usagetype_valid_from_date"
"area_usagetype_rel","area_usagetype_valid_to_date"
"contract","contract_id"
"contract","contract_creation_time"
"contract","contract_last_change_time"
"contract","contract_begin_date"
"contract","contract_end_date"
"contract","contract_first_possible_end_date"
"contract","contract_name"
"company_companydetails_rel","company_id"
"company_companydetails_rel","companydetails_id"
"note_user_contradictionpackage_rel","note_id"
"note_user_contradictionpackage_rel","user_id"
"note_user_contradictionpackage_rel","contradictionpackage_id"
"1__readme","readme_id"
"1__readme","readme_text"
"area","area_id"
"area","area_creation_time"
"area","area_last_change_time"
"area","area_name"
"area","area_name_external"
"area","area_space_value"
"company_payment_rel","company_id"
"company_payment_rel","payment_id"
"invoiceposition_unit_rel","invoiceposition_id"
"invoiceposition_unit_rel","unit_id"
"note_user_user_rel","note_id"
"note_user_user_rel","user_id_creator"
"note_user_user_rel","user_id_user"
"group_ticket_customergroup_partnergroup_rel","group_ticket_id"
"group_ticket_customergroup_partnergroup_rel","customergroup_id"
"group_ticket_customergroup_partnergroup_rel","partnergroup_id"
"company_bankdata_rel","company_id"
"company_bankdata_rel","bankdata_id"
"1__language","attribute_lang"
"board","board_id"
"board","board_name"
"board","board_description"
"team","team_id"
"team","team_name"
"team","team_description"
"recurringpaymenttype","recurringpaymenttype_id"
"recurringpaymenttype","recurringpaymenttype_name"
"recurringpaymenttype","recurringpaymenttype_description"
"criteria_criteriatype_rel","criteria_id"
"criteria_criteriatype_rel","criteriatype_id"
"user_usertype_rel","user_id"
"user_usertype_rel","usertype_id"
"group_ticket_column_rel","group_ticket_id"
"group_ticket_column_rel","column_id"
"group_ticket_column_rel","group_ticket_move_time"
"group_ticket_column_rel","group_ticket_deadline_offset"
"group_ticket_column_rel","group_ticket_deadline_offset_yellow"
"group_ticket_column_rel","group_ticket_deadline_offset_red"
"partnercompany_partnergroup_rel","partnercompany_id"
"partnercompany_partnergroup_rel","partnergroup_id"
"area_serviceobject_rel","area_id"
"area_serviceobject_rel","serviceobject_id"
"contradictionpoint","contradictionpoint_id"
"contradictionpoint","contradictionpoint_creation_time"
"contradictionpoint","contradictionpoint_last_change_time"
"contradictionpoint","contradictionpoint_title"
"contradictionpoint","contradictionpoint_text"
"contradictionpoint","contradictionpoint_legally_clear"
"contradictionpoint","contradictionpoint_hidden"
"contradictionpoint","contradictionpoint_rank"
"contradictionpoint","contradictionpoint_text_customer"
"area_pos_rel","area_id"
"area_pos_rel","pos_id"
"location_address_rel","location_id"
"location_address_rel","address_id"
